,shot_num,latitude,longitude,elev_highest,elev_lowest,rh25,rh50,rh75,rh98,canopy_top_h,quality_flag,degrade_flag
88197,206590000300205382,32.562826347527476,-92.02964696830651,14.567439,-4.777914,-0.63,0.82,7.8,18.11,19.34,1,0
88198,206590000300205383,32.56246197196588,-92.02921613872842,14.771813,-3.863962,-0.67,0.82,5.52,17.36,18.63,1,0
88199,206590000300205384,32.56210770855347,-92.02879167327862,-0.47483507,-4.620268,-1.12,-0.03,1.0,3.21,4.14,1,0
88200,206590000300205385,32.5617326591661,-92.02835431126158,15.629912,-4.6117506,-0.7,0.67,6.31,19.04,20.24,1,0
88201,206590000300205386,32.56137833801952,-92.02792990019957,0.057848323,-4.274316,-1.23,-0.11,0.97,3.36,4.33,1,0
88202,206590000300205387,32.561012681900664,-92.02749850184983,1.508731,-4.279937,-1.26,-0.03,1.19,4.48,5.78,1,0
88203,206590000300205388,32.56064402214023,-92.0270653209661,7.359969,-4.0679817,-1.08,0.22,1.82,9.97,11.42,1,0
88204,206590000300205389,32.56026967516226,-92.02662868986904,21.666313,-3.0569005,8.32,15.34,19.15,23.49,24.72,1,0
88205,206590000300205390,32.559912467673975,-92.02620284236525,9.854454,-3.7022328,-0.18,2.83,7.31,12.51,13.55,1,0
88206,206590000300205391,32.55954811691356,-92.02577262565384,8.733678,-4.076084,-0.78,0.85,6.49,11.8,12.8,1,0
88207,206590000300205392,32.559187432405,-92.02534476717051,1.94959,-3.5776544,-1.26,-0.11,1.04,4.25,5.52,1,0
88208,206590000300205393,32.558814901686546,-92.02490958275713,13.026222,-3.219395,-0.44,1.3,6.34,15.27,16.24,1,0
88210,206590000300205395,32.55808959781667,-92.02405166376343,5.078045,-3.5862849,0.0,1.79,3.99,7.73,8.66,1,0
88211,206590000300205396,32.55772709269422,-92.02362283646158,0.8417233,-3.3410563,-1.15,-0.11,0.93,3.13,4.18,1,0
88212,206590000300205397,32.55736218258039,-92.02319252051319,0.2527362,-3.6312737,-0.97,0.0,0.97,2.87,3.88,1,0
88213,206590000300205398,32.55698925163749,-92.02275720228725,11.841414,-3.7693183,0.52,5.41,9.82,14.56,15.61,1,0
88214,206590000300205399,32.55663096045327,-92.02233099746003,1.2991388,-3.7052588,-1.08,0.03,1.26,4.1,5.0,1,0
88215,206590000300205400,32.55625959204673,-92.02189661302046,10.639411,-4.29909,0.44,4.96,9.18,13.89,14.93,1,0
88217,206590000300205402,32.55552954230921,-92.02103562673716,10.403404,-4.3110194,-0.82,0.52,2.39,13.4,14.71,1,0
88218,206590000300205403,32.5551615862199,-92.02060321823923,14.92481,-4.794011,-0.14,3.88,12.73,18.67,19.71,1,0
88219,206590000300205404,32.55479439788169,-92.02017121148386,18.440573,-5.162259,1.75,10.75,16.13,22.55,23.6,1,0
88220,206590000300205405,32.55443533100789,-92.01974418096725,9.838308,-4.390614,-0.82,0.78,5.3,13.07,14.22,1,0
88221,206590000300205406,32.554068423097924,-92.01931216113124,13.3190155,-5.0179954,0.82,7.35,12.73,17.21,18.33,1,0
88222,206590000300205407,32.55370536567385,-92.0188824291786,11.194942,-4.975986,-0.48,1.15,7.02,14.86,16.17,1,0
88224,206590000300205409,32.55298459550562,-92.01802590974128,-0.37516218,-4.931405,-1.41,-0.14,1.0,3.51,4.55,1,0
88225,206590000300205410,32.55261964756507,-92.01759458678217,1.1836325,-4.1195354,-1.26,0.03,1.34,4.29,5.3,1,0
88227,206590000300205412,32.551879906739465,-92.01672530608042,20.193308,-3.0734074,0.44,7.43,13.74,21.92,23.26,1,0
88228,206590000300205413,32.551515145168516,-92.0162935882586,22.522959,-6.2710004,5.75,16.28,21.36,27.56,28.79,1,0
88229,206590000300205414,32.55115244300468,-92.01586300046121,22.20627,2.67418,5.19,9.59,13.29,18.37,19.53,1,0
88230,206590000300205415,32.550790051209326,-92.01543242762061,21.76834,6.1576076,5.07,8.62,11.83,14.6,15.61,1,0
88231,206590000300205416,32.55043148199606,-92.01500407245126,15.856147,-2.555554,-0.26,1.71,8.06,17.29,18.41,1,0
88232,206590000300205417,32.550078907117495,-92.01457930406144,1.1529909,-3.0671349,-1.34,-0.18,0.93,3.24,4.22,1,0
88233,206590000300205418,32.54971709256018,-92.01414864209174,0.70654327,-2.9160426,-1.38,-0.22,0.78,2.76,3.62,1,0
88234,206590000300205419,32.54935471819268,-92.01371751155735,1.3391621,-2.5821934,-1.38,-0.14,0.97,3.09,3.92,1,0
